Date,Open,High,Low,Close,Volume
28-Apr-20,71.27,71.46,69.55,69.65,"28,001,187"
29-Apr-20,71.18,72.42,70.97,71.93,"34,320,204"
30-Apr-20,72.49,73.63,72.09,73.45,"45,765,968"
1-May-20,71.56,74.75,71.46,72.27,"60,154,175"
4-May-20,72.29,73.42,71.58,73.29,"33,391,986"
5-May-20,73.77,75.25,73.61,74.39,"36,937,795"
6-May-20,75.11,75.81,74.72,75.16,"35,583,438"
7-May-20,75.81,76.29,75.49,75.94,"28,803,764"
8-May-20,76.41,77.59,76.07,77.53,"33,511,985"
11-May-20,77.03,79.26,76.81,78.75,"36,486,561"
12-May-20,79.46,79.92,77.73,77.85,"40,575,263"
13-May-20,78.04,78.99,75.8,76.91,"50,155,639"
14-May-20,76.13,77.45,75.38,77.39,"39,732,269"
15-May-20,75.09,76.97,75.05,76.93,"41,587,094"
18-May-20,78.29,79.13,77.58,78.74,"33,843,125"
19-May-20,78.76,79.63,78.25,78.29,"25,432,385"
20-May-20,79.17,79.88,79.05,79.81,"27,876,215"
21-May-20,79.67,80.22,78.97,79.21,"25,672,211"
22-May-20,78.94,79.81,78.84,79.72,"20,450,754"
26-May-20,80.88,81.06,79.13,79.18,"31,380,454"
27-May-20,79.04,79.68,78.27,79.53,"28,236,274"
28-May-20,79.19,80.86,78.91,79.56,"33,449,103"
29-May-20,79.81,80.29,79.12,79.49,"38,399,532"
1-Jun-20,79.44,80.59,79.3,80.46,"20,254,653"
2-Jun-20,80.19,80.86,79.73,80.83,"21,910,704"
3-Jun-20,81.17,81.55,80.58,81.28,"26,122,804"
4-Jun-20,81.1,81.41,80.19,80.58,"21,890,091"
5-Jun-20,80.84,82.94,80.81,82.88,"34,312,550"
8-Jun-20,82.56,83.4,81.83,83.37,"23,913,634"
9-Jun-20,83.04,86.4,83,86,"36,928,091"
10-Jun-20,86.98,88.69,86.52,88.21,"41,662,938"
11-Jun-20,87.33,87.77,83.87,83.98,"50,415,613"
12-Jun-20,86.18,86.95,83.56,84.7,"50,036,513"
15-Jun-20,83.31,86.42,83.15,85.75,"34,702,230"
16-Jun-20,87.87,88.3,86.18,88.02,"41,357,182"
17-Jun-20,88.79,88.85,87.77,87.9,"28,601,626"
18-Jun-20,87.85,88.36,87.31,87.93,"24,205,096"
19-Jun-20,88.66,89.14,86.29,87.43,"66,118,952"
22-Jun-20,87.84,89.87,87.79,89.72,"33,861,316"
23-Jun-20,91,93.1,90.57,91.63,"53,038,869"
24-Jun-20,91.25,92.2,89.63,90.02,"48,155,849"
25-Jun-20,90.18,91.25,89.39,91.21,"34,380,628"
26-Jun-20,91.1,91.33,88.26,88.41,"51,314,211"
29-Jun-20,88.31,90.54,87.82,90.45,"32,661,519"
30-Jun-20,90.02,91.5,90,91.2,"35,055,821"
1-Jul-20,91.28,91.84,90.98,91.03,"27,684,309"
2-Jul-20,91.96,92.62,90.91,91.03,"28,510,367"
6-Jul-20,92.5,93.95,92.47,93.46,"29,663,913"
7-Jul-20,93.85,94.66,93.06,93.17,"28,106,114"
8-Jul-20,94.18,95.38,94.09,95.34,"29,272,970"
9-Jul-20,96.26,96.32,94.67,95.68,"31,410,652"
10-Jul-20,95.34,95.98,94.71,95.92,"22,564,330"
13-Jul-20,97.27,99.96,95.26,95.48,"47,912,285"
14-Jul-20,94.84,97.26,93.88,97.06,"42,747,341"
15-Jul-20,98.99,99.25,96.49,97.73,"38,299,483"
16-Jul-20,96.56,97.41,95.91,96.52,"27,644,418"
17-Jul-20,96.99,97.15,95.84,96.33,"23,046,725"
20-Jul-20,96.42,98.5,96.06,98.36,"22,579,477"
21-Jul-20,99.17,99.25,96.74,97,"25,911,459"
22-Jul-20,96.69,97.98,96.6,97.27,"22,250,413"
23-Jul-20,97,97.08,92.01,92.85,"49,251,108"
24-Jul-20,90.99,92.97,89.15,92.62,"46,359,716"
27-Jul-20,93.71,94.91,93.48,94.81,"30,303,548"
28-Jul-20,94.37,94.55,93.25,93.25,"25,906,375"
29-Jul-20,93.75,95.23,93.71,95.04,"22,582,314"
30-Jul-20,94.19,96.3,93.77,96.19,"39,532,505"
31-Jul-20,102.88,106.42,100.83,106.26,"93,573,867"
3-Aug-20,108.2,111.64,107.89,108.94,"77,037,847"
4-Aug-20,109.13,110.79,108.39,109.67,"43,198,092"
5-Aug-20,109.38,110.39,108.9,110.06,"30,497,988"
6-Aug-20,110.41,114.41,109.8,113.9,"50,607,225"
7-Aug-20,113.21,113.68,110.29,111.11,"49,511,403"
10-Aug-20,112.6,113.78,110,112.73,"53,100,856"
11-Aug-20,111.97,112.48,109.11,109.38,"46,975,594"
12-Aug-20,110.5,113.28,110.3,113.01,"41,486,205"
13-Aug-20,114.43,116.04,113.93,115.01,"52,520,516"
14-Aug-20,114.83,115,113.05,114.91,"41,391,302"
17-Aug-20,116.06,116.09,113.96,114.61,"29,890,361"
18-Aug-20,114.35,116,114.01,115.56,"26,408,385"
19-Aug-20,115.98,117.16,115.61,115.71,"36,384,502"
20-Aug-20,115.75,118.39,115.73,118.28,"31,726,797"
21-Aug-20,119.26,124.87,119.25,124.37,"84,513,660"
24-Aug-20,128.7,128.79,123.94,125.86,"86,484,442"
25-Aug-20,124.7,125.18,123.05,124.83,"52,873,947"
26-Aug-20,126.18,126.99,125.08,126.52,"40,755,567"
27-Aug-20,127.14,127.49,123.83,125.01,"38,888,096"
28-Aug-20,126.01,126.44,124.58,124.81,"46,907,479"
31-Aug-20,127.58,131,126,129.04,"225,702,688"
1-Sep-20,132.76,134.8,130.53,134.18,"152,470,142"
2-Sep-20,137.59,137.98,127,131.4,"200,118,991"
3-Sep-20,126.91,128.84,120.5,120.88,"257,599,640"
4-Sep-20,120.07,123.7,110.89,120.96,"332,607,163"
8-Sep-20,113.95,118.99,112.68,112.82,"231,366,563"
9-Sep-20,117.26,119.14,115.26,117.32,"176,940,455"
10-Sep-20,120.36,120.5,112.5,113.49,"182,274,391"
11-Sep-20,114.57,115.23,110,112,"180,860,325"
14-Sep-20,114.72,115.93,112.8,115.36,"140,150,087"
15-Sep-20,118.33,118.83,113.61,115.54,"184,642,039"
16-Sep-20,115.23,116,112.04,112.13,"155,026,675"
17-Sep-20,109.72,112.2,108.71,110.34,"178,010,968"
18-Sep-20,110.4,110.88,106.09,106.84,"287,104,882"
21-Sep-20,104.54,110.19,103.1,110.08,"195,713,815"
22-Sep-20,112.68,112.86,109.16,111.81,"183,055,373"
23-Sep-20,111.62,112.11,106.77,107.12,"150,718,671"
24-Sep-20,105.17,110.25,105,108.22,"167,743,349"
25-Sep-20,108.43,112.44,107.67,112.28,"149,981,441"
28-Sep-20,115.01,115.32,112.78,114.96,"137,672,403"
29-Sep-20,114.55,115.31,113.57,114.09,"100,060,526"
30-Sep-20,113.79,117.26,113.62,115.81,"142,675,184"
1-Oct-20,117.64,117.72,115.83,116.79,"116,120,440"
2-Oct-20,112.89,115.37,112.22,113.02,"144,711,986"
5-Oct-20,113.91,116.65,113.55,116.5,"106,243,839"
6-Oct-20,115.7,116.12,112.25,113.16,"161,498,212"
7-Oct-20,114.62,115.55,114.13,115.08,"96,848,985"
8-Oct-20,116.25,116.4,114.59,114.97,"83,477,153"
9-Oct-20,115.28,117,114.92,116.97,"100,506,865"
12-Oct-20,120.06,125.18,119.28,124.4,"240,226,769"
13-Oct-20,125.27,125.39,119.65,121.1,"262,330,451"
14-Oct-20,121,123.03,119.62,121.19,"151,062,308"
15-Oct-20,118.72,121.2,118.15,120.71,"112,559,219"
16-Oct-20,121.28,121.55,118.81,119.02,"115,393,808"
19-Oct-20,119.96,120.42,115.66,115.98,"120,639,337"
20-Oct-20,116.2,118.98,115.63,117.51,"124,423,728"
21-Oct-20,116.67,118.71,116.45,116.87,"89,945,980"
22-Oct-20,117.45,118.04,114.59,115.75,"101,987,954"
23-Oct-20,116.39,116.55,114.28,115.04,"82,572,645"
26-Oct-20,114.01,116.55,112.88,115.05,"111,850,657"
27-Oct-20,115.49,117.28,114.54,116.6,"92,276,772"
28-Oct-20,115.05,115.43,111.1,111.2,"143,937,823"
29-Oct-20,112.37,116.93,112.2,115.32,"146,129,173"
30-Oct-20,111.06,111.99,107.72,108.86,"190,573,476"
2-Nov-20,109.11,110.68,107.32,108.77,"122,866,899"
3-Nov-20,109.66,111.49,108.73,110.44,"107,624,448"
4-Nov-20,114.14,115.59,112.35,114.95,"138,235,482"
5-Nov-20,117.95,119.62,116.87,119.03,"126,387,074"
6-Nov-20,118.32,119.2,116.13,118.69,"114,457,922"
9-Nov-20,120.5,121.99,116.05,116.32,"154,515,315"
10-Nov-20,115.55,117.59,114.13,115.97,"138,023,390"
11-Nov-20,117.19,119.63,116.44,119.49,"112,294,954"
12-Nov-20,119.62,120.53,118.57,119.21,"103,350,674"
13-Nov-20,119.44,119.67,117.87,119.26,"81,688,586"
16-Nov-20,118.92,120.99,118.15,120.3,"91,183,018"
17-Nov-20,119.55,120.67,118.96,119.39,"74,270,973"
18-Nov-20,118.61,119.82,118,118.03,"76,322,111"
19-Nov-20,117.59,119.06,116.81,118.64,"74,112,972"
20-Nov-20,118.64,118.77,117.29,117.34,"73,604,287"
23-Nov-20,117.18,117.62,113.75,113.85,"127,959,318"
24-Nov-20,113.91,115.85,112.59,115.17,"113,874,218"
25-Nov-20,115.55,116.75,115.17,116.03,"76,499,234"
27-Nov-20,116.57,117.49,116.22,116.59,"46,691,331"
30-Nov-20,116.97,120.97,116.81,119.05,"169,410,176"
1-Dec-20,121.01,123.47,120.01,122.72,"128,166,803"
2-Dec-20,122.02,123.37,120.89,123.08,"89,004,195"
3-Dec-20,123.52,123.78,122.21,122.94,"78,967,630"
4-Dec-20,122.6,122.86,121.52,122.25,"78,260,421"
7-Dec-20,122.31,124.57,122.25,123.75,"86,711,990"
8-Dec-20,124.37,124.98,123.09,124.38,"82,225,512"
9-Dec-20,124.53,125.95,121,121.78,"115,089,193"
10-Dec-20,120.5,123.87,120.15,123.24,"81,312,170"
11-Dec-20,122.43,122.76,120.55,122.41,"86,939,786"
14-Dec-20,122.6,123.35,121.54,121.78,"79,075,988"
15-Dec-20,124.34,127.9,124.13,127.88,"157,572,262"
16-Dec-20,127.41,128.37,126.56,127.81,"98,208,591"
17-Dec-20,128.9,129.58,128.04,128.7,"94,359,811"
18-Dec-20,128.96,129.1,126.12,126.66,"192,541,496"
21-Dec-20,125.02,128.31,123.45,128.23,"121,251,553"
22-Dec-20,131.61,134.41,129.65,131.88,"169,351,825"
23-Dec-20,132.16,132.43,130.78,130.96,"88,223,692"
24-Dec-20,131.32,133.46,131.1,131.97,"54,930,064"
28-Dec-20,133.99,137.34,133.51,136.69,"124,486,237"
29-Dec-20,138.05,138.79,134.34,134.87,"121,047,324"
30-Dec-20,135.58,135.99,133.4,133.72,"96,452,124"
31-Dec-20,134.08,134.74,131.72,132.69,"99,116,586"
4-Jan-21,133.52,133.61,126.76,129.41,"143,301,887"
5-Jan-21,128.89,131.74,128.43,131.01,"97,664,898"
6-Jan-21,127.72,131.05,126.38,126.6,"155,087,970"
7-Jan-21,128.36,131.63,127.86,130.92,"109,578,157"
8-Jan-21,132.43,132.63,130.23,132.05,"105,158,245"
11-Jan-21,129.19,130.17,128.5,128.98,"100,620,880"
12-Jan-21,128.5,129.69,126.86,128.8,"91,951,145"
13-Jan-21,128.76,131.45,128.49,130.89,"88,636,831"
14-Jan-21,130.8,131,128.76,128.91,"90,221,755"
15-Jan-21,128.78,130.22,127,127.14,"111,598,531"
19-Jan-21,127.78,128.71,126.94,127.83,"90,757,329"
20-Jan-21,128.66,132.49,128.55,132.03,"104,319,489"
