Date,Open,High,Low,Close,Volume
27-Apr-20,1.21,1.5,1.2,1.46,"7,275,138"
28-Apr-20,1.48,1.51,1.26,1.41,"5,200,189"
29-Apr-20,1.46,1.52,1.36,1.51,"3,370,045"
30-Apr-20,1.47,1.49,1.41,1.43,"2,173,530"
1-May-20,1.41,1.55,1.36,1.51,"4,005,598"
4-May-20,1.46,1.48,1.35,1.37,"4,068,105"
5-May-20,1.39,1.41,1.34,1.35,"2,105,919"
6-May-20,1.35,1.35,1.23,1.23,"3,369,640"
7-May-20,1.21,1.23,1.16,1.22,"2,501,195"
8-May-20,1.22,1.3,1.21,1.25,"2,353,661"
11-May-20,1.23,1.24,1.19,1.19,"1,699,158"
12-May-20,1.2,1.23,1.12,1.14,"2,639,157"
13-May-20,1.14,1.14,1.02,1.05,"2,882,877"
14-May-20,1.04,1.05,0.99,1.03,"2,004,868"
15-May-20,1.01,1.11,1.01,1.06,"1,940,704"
18-May-20,1.1,1.16,1.09,1.15,"2,371,694"
19-May-20,1.15,1.19,1.09,1.11,"1,840,732"
20-May-20,1.13,1.17,1.08,1.11,"2,543,609"
21-May-20,1.11,1.16,1.1,1.11,"1,971,906"
22-May-20,1.12,1.12,1.03,1.05,"2,379,851"
26-May-20,1.09,1.15,1.08,1.11,"3,545,926"
27-May-20,1.14,1.18,1.09,1.17,"3,146,603"
28-May-20,1.19,1.19,1.08,1.08,"2,184,367"
29-May-20,1.08,1.11,1.01,1.01,"3,973,540"
1-Jun-20,1.03,1.09,1,1.03,"2,618,424"
2-Jun-20,1.07,1.08,1.01,1.05,"2,369,780"
3-Jun-20,1.06,1.13,1.05,1.11,"3,037,424"
4-Jun-20,1.11,1.18,1.09,1.12,"3,514,299"
5-Jun-20,1.07,1.1,1.02,1.03,"6,274,428"
8-Jun-20,1.07,1.28,1.07,1.25,"10,133,663"
9-Jun-20,1.25,1.25,1.14,1.24,"8,073,448"
10-Jun-20,1.2,1.38,1.17,1.27,"10,606,372"
11-Jun-20,1.16,1.22,1.05,1.09,"6,235,993"
12-Jun-20,1.15,1.2,1.1,1.18,"4,378,192"
15-Jun-20,1.13,1.19,1.11,1.17,"3,910,385"
16-Jun-20,1.24,1.24,1.13,1.16,"3,123,535"
17-Jun-20,1.14,1.21,1.13,1.19,"3,593,466"
18-Jun-20,1.17,1.24,1.16,1.24,"3,423,827"
19-Jun-20,1.24,1.27,1.17,1.22,"7,365,867"
22-Jun-20,1.2,1.24,1.18,1.22,"3,178,966"
23-Jun-20,1.24,1.25,1.2,1.21,"3,205,372"
24-Jun-20,1.21,1.21,1.1,1.1,"2,976,209"
