Date,Open,High,Low,Close,Volume
28-Apr-20,64.4,64.4,61.61,61.68,"2,951,309"
29-Apr-20,67.07,68,66.27,67.07,"3,793,630"
30-Apr-20,66.24,67.64,66.12,67.43,"2,668,906"
1-May-20,66.43,67.6,65.55,66.03,"2,072,639"
4-May-20,65.41,66.38,64.95,66.34,"1,504,017"
5-May-20,66.9,68.7,66.87,67.56,"1,651,533"
6-May-20,68.08,68.56,67.36,67.36,"1,215,423"
7-May-20,68.3,68.88,67.76,68.63,"1,399,759"
8-May-20,69.16,69.94,68.77,69.42,"1,388,068"
11-May-20,68.91,70.83,68.86,70.16,"1,412,116"
12-May-20,70.36,70.75,68.74,68.79,"1,390,600"
13-May-20,68.85,69.27,66.42,67.47,"1,812,585"
14-May-20,66.75,67.87,66.2,67.81,"1,603,077"
15-May-20,67.5,68.72,66.95,68.66,"1,707,747"
18-May-20,68.09,69.62,67.71,69.2,"1,823,964"
19-May-20,69.35,69.6,68.67,68.67,"1,280,649"
20-May-20,69.48,70.52,69.36,70.34,"1,655,375"
21-May-20,70.4,70.77,69.67,70.14,"1,385,194"
22-May-20,69.84,70.64,69.59,70.52,"1,309,408"
26-May-20,71.86,72.05,70.61,70.85,"2,060,643"
27-May-20,70.86,71.09,69.56,70.89,"1,686,142"
28-May-20,69.84,72.04,69.8,70.84,"1,693,976"
29-May-20,70.85,71.63,70.67,71.45,"1,838,059"
1-Jun-20,70.92,71.9,70.9,71.59,"1,217,140"
2-Jun-20,71.53,71.98,70.94,71.96,"1,278,128"
3-Jun-20,71.92,72.33,71.49,71.82,"1,256,186"
4-Jun-20,71.52,71.95,70.24,70.61,"1,484,272"
5-Jun-20,70.66,72.25,70.3,71.92,"1,735,244"
8-Jun-20,71.12,72.4,71.12,72.33,"1,404,178"
9-Jun-20,72.27,73.4,72.16,72.81,"1,409,249"
10-Jun-20,72.98,73.71,72.81,73.29,"1,525,153"
11-Jun-20,72.12,72.72,70.1,70.19,"1,991,332"
12-Jun-20,71.42,71.85,69.3,70.66,"1,946,367"
15-Jun-20,69.54,71.24,69.4,70.99,"1,506,096"
16-Jun-20,72.26,72.75,71.3,72.14,"1,711,614"
17-Jun-20,72.36,73,71.57,72.56,"1,549,615"
18-Jun-20,72.46,72.57,71.35,71.8,"1,581,916"
19-Jun-20,72.2,72.39,71.07,71.59,"3,157,875"
22-Jun-20,71.45,72.64,71.16,72.59,"1,542,440"
23-Jun-20,72.78,73.8,72.26,73.22,"1,429,764"
24-Jun-20,73.08,73.77,71.49,71.6,"1,756,022"
25-Jun-20,71.5,72.15,71,72.07,"1,230,474"
26-Jun-20,71.57,71.67,67.6,68,"4,267,698"
29-Jun-20,67.91,69.78,67.35,69.75,"1,810,180"
30-Jun-20,69.52,70.93,69.2,70.68,"2,042,381"
1-Jul-20,70.56,72.15,70.49,71.9,"1,775,167"
2-Jul-20,72.35,74.15,72.32,73.24,"1,859,480"
6-Jul-20,74,75.33,73.64,74.79,"1,563,997"
7-Jul-20,74.5,75.84,74.18,74.26,"1,458,172"
8-Jul-20,74.72,75.29,74.28,74.8,"1,249,658"
